onset	duration	sample	trial_type	response_time	stim_file	value
2.2660000000	n/a	n/a	stimulus	n/a	11081.jpg	difficult_distractor
4.3380000000	n/a	n/a	stimulus	393	307011.jpg	difficult_target
4.7310000000	n/a	n/a	response	n/a	n/a	correct
8.2350000000	n/a	n/a	stimulus	n/a	257041.jpg	difficult_distractor
10.2670000000	n/a	n/a	stimulus	310	307011.jpg	difficult_target
10.5770000000	n/a	n/a	response	n/a	n/a	correct
12.2410000000	n/a	n/a	stimulus	340	307011.jpg	difficult_target
12.5810000000	n/a	n/a	response	n/a	n/a	correct
14.3780000000	n/a	n/a	stimulus	307	307011.jpg	difficult_target
14.6850000000	n/a	n/a	response	n/a	n/a	correct
18.4540000000	n/a	n/a	stimulus	n/a	86075.jpg	difficult_distractor
20.5060000000	n/a	n/a	stimulus	275	307011.jpg	difficult_target
20.7810000000	n/a	n/a	response	n/a	n/a	correct
24.4090000000	n/a	n/a	stimulus	n/a	67063.jpg	difficult_distractor
26.3540000000	n/a	n/a	stimulus	305	307011.jpg	difficult_target
26.6590000000	n/a	n/a	response	n/a	n/a	correct
30.4120000000	n/a	n/a	stimulus	313	307011.jpg	difficult_target
30.7250000000	n/a	n/a	response	n/a	n/a	correct
34.4190000000	n/a	n/a	stimulus	326	307011.jpg	difficult_target
34.7450000000	n/a	n/a	response	n/a	n/a	correct
38.4690000000	n/a	n/a	stimulus	n/a	83097.jpg	difficult_distractor
40.2800000000	n/a	n/a	stimulus	327	307011.jpg	difficult_target
40.6070000000	n/a	n/a	response	n/a	n/a	correct
42.2950000000	n/a	n/a	stimulus	n/a	227096.jpg	difficult_distractor
44.2280000000	n/a	n/a	stimulus	n/a	61029.jpg	difficult_distractor
46.3790000000	n/a	n/a	stimulus	288	307011.jpg	difficult_target
46.6670000000	n/a	n/a	response	n/a	n/a	correct
50.3570000000	n/a	n/a	stimulus	n/a	111058.jpg	difficult_distractor
52.1740000000	n/a	n/a	stimulus	315	307011.jpg	difficult_target
52.4890000000	n/a	n/a	response	n/a	n/a	correct
56.2500000000	n/a	n/a	stimulus	n/a	98040.jpg	difficult_distractor
58.0900000000	n/a	n/a	stimulus	n/a	250067.jpg	difficult_distractor
60.2760000000	n/a	n/a	stimulus	323	307011.jpg	difficult_target
60.5990000000	n/a	n/a	response	n/a	n/a	correct
62.4620000000	n/a	n/a	stimulus	n/a	143016.jpg	difficult_distractor
64.4760000000	n/a	n/a	stimulus	n/a	98029.jpg	difficult_distractor
66.6240000000	n/a	n/a	stimulus	n/a	2084.jpg	difficult_distractor
68.6830000000	n/a	n/a	stimulus	n/a	151031.jpg	difficult_distractor
70.5930000000	n/a	n/a	stimulus	368	307011.jpg	difficult_target
70.9610000000	n/a	n/a	response	n/a	n/a	correct
74.6350000000	n/a	n/a	stimulus	321	307011.jpg	difficult_target
74.9560000000	n/a	n/a	response	n/a	n/a	correct
78.5910000000	n/a	n/a	stimulus	n/a	285032.jpg	difficult_distractor
80.5440000000	n/a	n/a	stimulus	n/a	250066.jpg	difficult_distractor
82.6590000000	n/a	n/a	stimulus	n/a	227016.jpg	difficult_distractor
84.7870000000	n/a	n/a	stimulus	n/a	111004.jpg	difficult_distractor
86.9330000000	n/a	n/a	stimulus	325	307011.jpg	difficult_target
87.2580000000	n/a	n/a	response	n/a	n/a	correct
88.8830000000	n/a	n/a	stimulus	400	307011.jpg	difficult_target
89.2830000000	n/a	n/a	response	n/a	n/a	correct
93.0530000000	n/a	n/a	stimulus	295	307011.jpg	difficult_target
93.3480000000	n/a	n/a	response	n/a	n/a	correct
97.2000000000	n/a	n/a	stimulus	316	307011.jpg	difficult_target
97.5160000000	n/a	n/a	response	n/a	n/a	correct
101.1410000000	n/a	n/a	stimulus	297	307011.jpg	difficult_target
101.4380000000	n/a	n/a	response	n/a	n/a	correct
105.1960000000	n/a	n/a	stimulus	n/a	72030.jpg	difficult_distractor
107.0990000000	n/a	n/a	stimulus	379	307011.jpg	difficult_target
107.4780000000	n/a	n/a	response	n/a	n/a	correct
111.2160000000	n/a	n/a	stimulus	n/a	11022.jpg	difficult_distractor
113.1340000000	n/a	n/a	stimulus	n/a	267011.jpg	difficult_distractor
115.0140000000	n/a	n/a	stimulus	n/a	151072.jpg	difficult_distractor
117.1040000000	n/a	n/a	stimulus	n/a	138024.jpg	difficult_distractor
119.0800000000	n/a	n/a	stimulus	312	307011.jpg	difficult_target
119.3920000000	n/a	n/a	response	n/a	n/a	correct
121.0550000000	n/a	n/a	stimulus	n/a	158072.jpg	difficult_distractor
122.9070000000	n/a	n/a	stimulus	338	307011.jpg	difficult_target
123.2450000000	n/a	n/a	response	n/a	n/a	correct
126.7360000000	n/a	n/a	stimulus	351	307011.jpg	difficult_target
127.0870000000	n/a	n/a	response	n/a	n/a	correct
130.9170000000	n/a	n/a	stimulus	n/a	147095.jpg	difficult_distractor
133.1090000000	n/a	n/a	stimulus	326	307011.jpg	difficult_target
133.4350000000	n/a	n/a	response	n/a	n/a	correct
137.1750000000	n/a	n/a	stimulus	327	307011.jpg	difficult_target
137.5020000000	n/a	n/a	response	n/a	n/a	correct
141.1980000000	n/a	n/a	stimulus	257	307011.jpg	difficult_target
141.4550000000	n/a	n/a	response	n/a	n/a	correct
