onset	duration	sample	trial_type	response_time	stim_file	value
2.4480000000	n/a	n/a	stimulus	n/a	329014.jpg	easy_distractor
4.4960000000	n/a	n/a	stimulus	341	247000.jpg	easy_target
4.8370000000	n/a	n/a	response	n/a	n/a	correct
6.6700000000	n/a	n/a	stimulus	277	247000.jpg	easy_target
6.9470000000	n/a	n/a	response	n/a	n/a	correct
8.8280000000	n/a	n/a	stimulus	376	247000.jpg	easy_target
9.2040000000	n/a	n/a	response	n/a	n/a	correct
10.9560000000	n/a	n/a	stimulus	314	247000.jpg	easy_target
11.2700000000	n/a	n/a	response	n/a	n/a	correct
12.9790000000	n/a	n/a	stimulus	328	247000.jpg	easy_target
13.3070000000	n/a	n/a	response	n/a	n/a	correct
15.1860000000	n/a	n/a	stimulus	n/a	151000.jpg	easy_distractor
17.3810000000	n/a	n/a	stimulus	419	247000.jpg	easy_target
17.8000000000	n/a	n/a	response	n/a	n/a	correct
19.4000000000	n/a	n/a	stimulus	n/a	22071.jpg	easy_distractor
21.3690000000	n/a	n/a	stimulus	379	247000.jpg	easy_target
21.7480000000	n/a	n/a	response	n/a	n/a	correct
23.4150000000	n/a	n/a	stimulus	308	247000.jpg	easy_target
23.7230000000	n/a	n/a	response	n/a	n/a	correct
25.4930000000	n/a	n/a	stimulus	n/a	260009.jpg	easy_distractor
27.3800000000	n/a	n/a	stimulus	n/a	340056.jpg	easy_distractor
29.3730000000	n/a	n/a	stimulus	n/a	98015.jpg	easy_distractor
31.4830000000	n/a	n/a	stimulus	402	247000.jpg	easy_target
31.8850000000	n/a	n/a	response	n/a	n/a	correct
33.6780000000	n/a	n/a	stimulus	344	247000.jpg	easy_target
34.0220000000	n/a	n/a	response	n/a	n/a	correct
35.7820000000	n/a	n/a	stimulus	330	247000.jpg	easy_target
36.1120000000	n/a	n/a	response	n/a	n/a	correct
37.8660000000	n/a	n/a	stimulus	n/a	281084.jpg	easy_distractor
40.0510000000	n/a	n/a	stimulus	n/a	102079.jpg	easy_distractor
42.1630000000	n/a	n/a	stimulus	n/a	143022.jpg	easy_distractor
44.1710000000	n/a	n/a	stimulus	398	247000.jpg	easy_target
44.5690000000	n/a	n/a	response	n/a	n/a	correct
46.1040000000	n/a	n/a	stimulus	340	247000.jpg	easy_target
46.4440000000	n/a	n/a	response	n/a	n/a	correct
48.1550000000	n/a	n/a	stimulus	290	247000.jpg	easy_target
48.4450000000	n/a	n/a	response	n/a	n/a	correct
50.1580000000	n/a	n/a	stimulus	n/a	98059.jpg	easy_distractor
52.1490000000	n/a	n/a	stimulus	439	247000.jpg	easy_target
52.5880000000	n/a	n/a	response	n/a	n/a	correct
54.0070000000	n/a	n/a	stimulus	n/a	58066.jpg	easy_distractor
56.0600000000	n/a	n/a	stimulus	371	247000.jpg	easy_target
56.4310000000	n/a	n/a	response	n/a	n/a	correct
57.8730000000	n/a	n/a	stimulus	n/a	13057.jpg	easy_distractor
59.7900000000	n/a	n/a	stimulus	n/a	248091.jpg	easy_distractor
61.8970000000	n/a	n/a	stimulus	346	247000.jpg	easy_target
62.2430000000	n/a	n/a	response	n/a	n/a	correct
64.0060000000	n/a	n/a	stimulus	322	247000.jpg	easy_target
64.3280000000	n/a	n/a	response	n/a	n/a	correct
66.1240000000	n/a	n/a	stimulus	n/a	267058.jpg	easy_distractor
68.0920000000	n/a	n/a	stimulus	333	247000.jpg	easy_target
68.4250000000	n/a	n/a	response	n/a	n/a	correct
70.1110000000	n/a	n/a	stimulus	319	247000.jpg	easy_target
70.4300000000	n/a	n/a	response	n/a	n/a	correct
72.1910000000	n/a	n/a	stimulus	358	247000.jpg	easy_target
72.5490000000	n/a	n/a	response	n/a	n/a	correct
74.1030000000	n/a	n/a	stimulus	226	247000.jpg	easy_target
74.3290000000	n/a	n/a	response	n/a	n/a	correct
76.2480000000	n/a	n/a	stimulus	224	340016.jpg	easy_distractor
76.4720000000	n/a	n/a	response	n/a	n/a	incorrect
78.2380000000	n/a	n/a	stimulus	n/a	194089.jpg	easy_distractor
80.0560000000	n/a	n/a	stimulus	n/a	78062.jpg	easy_distractor
81.9090000000	n/a	n/a	stimulus	n/a	146061.jpg	easy_distractor
83.8730000000	n/a	n/a	stimulus	373	247000.jpg	easy_target
84.2460000000	n/a	n/a	response	n/a	n/a	correct
85.8800000000	n/a	n/a	stimulus	417	247000.jpg	easy_target
86.2970000000	n/a	n/a	response	n/a	n/a	correct
87.8990000000	n/a	n/a	stimulus	n/a	261063.jpg	easy_distractor
89.9680000000	n/a	n/a	stimulus	369	247000.jpg	easy_target
90.3370000000	n/a	n/a	response	n/a	n/a	correct
91.8930000000	n/a	n/a	stimulus	320	247000.jpg	easy_target
92.2130000000	n/a	n/a	response	n/a	n/a	correct
93.7960000000	n/a	n/a	stimulus	n/a	64007.jpg	easy_distractor
95.7760000000	n/a	n/a	stimulus	n/a	2018.jpg	easy_distractor
97.7600000000	n/a	n/a	stimulus	n/a	46009.jpg	easy_distractor
99.8720000000	n/a	n/a	stimulus	n/a	279074.jpg	easy_distractor
101.8860000000	n/a	n/a	stimulus	494	247000.jpg	easy_target
102.3800000000	n/a	n/a	response	n/a	n/a	correct
103.9060000000	n/a	n/a	stimulus	n/a	267018.jpg	easy_distractor
105.7790000000	n/a	n/a	stimulus	343	247000.jpg	easy_target
106.1220000000	n/a	n/a	response	n/a	n/a	correct
107.9040000000	n/a	n/a	stimulus	338	247000.jpg	easy_target
108.2420000000	n/a	n/a	response	n/a	n/a	correct
109.9910000000	n/a	n/a	stimulus	n/a	78079.jpg	easy_distractor
112.0060000000	n/a	n/a	stimulus	341	247000.jpg	easy_target
112.3470000000	n/a	n/a	response	n/a	n/a	correct
113.8740000000	n/a	n/a	stimulus	361	247000.jpg	easy_target
114.2350000000	n/a	n/a	response	n/a	n/a	correct
115.7260000000	n/a	n/a	stimulus	n/a	384011.jpg	easy_distractor
117.7870000000	n/a	n/a	stimulus	n/a	64030.jpg	easy_distractor
119.8250000000	n/a	n/a	stimulus	408	247000.jpg	easy_target
120.2330000000	n/a	n/a	response	n/a	n/a	correct
121.6710000000	n/a	n/a	stimulus	n/a	297068.jpg	easy_distractor
123.5890000000	n/a	n/a	stimulus	335	247000.jpg	easy_target
123.9240000000	n/a	n/a	response	n/a	n/a	correct
125.5780000000	n/a	n/a	stimulus	n/a	68012.jpg	easy_distractor
127.5750000000	n/a	n/a	stimulus	556	247000.jpg	easy_target
128.1310000000	n/a	n/a	response	n/a	n/a	correct
129.7410000000	n/a	n/a	stimulus	n/a	17069.jpg	easy_distractor
131.6770000000	n/a	n/a	stimulus	404	247000.jpg	easy_target
132.0810000000	n/a	n/a	response	n/a	n/a	correct
133.7910000000	n/a	n/a	stimulus	350	247000.jpg	easy_target
134.1410000000	n/a	n/a	response	n/a	n/a	correct
135.7450000000	n/a	n/a	stimulus	309	247000.jpg	easy_target
136.0540000000	n/a	n/a	response	n/a	n/a	correct
137.8260000000	n/a	n/a	stimulus	n/a	261073.jpg	easy_distractor
139.7750000000	n/a	n/a	stimulus	348	247000.jpg	easy_target
140.1230000000	n/a	n/a	response	n/a	n/a	correct
141.9620000000	n/a	n/a	stimulus	310	247000.jpg	easy_target
142.2720000000	n/a	n/a	response	n/a	n/a	correct
143.8540000000	n/a	n/a	stimulus	n/a	261093.jpg	easy_distractor
145.8350000000	n/a	n/a	stimulus	n/a	143037.jpg	easy_distractor
148.0330000000	n/a	n/a	stimulus	n/a	46013.jpg	easy_distractor
150.0440000000	n/a	n/a	stimulus	n/a	142048.jpg	easy_distractor
152.0800000000	n/a	n/a	stimulus	n/a	177082.jpg	easy_distractor
154.1800000000	n/a	n/a	stimulus	501	247000.jpg	easy_target
154.6810000000	n/a	n/a	response	n/a	n/a	correct
156.2370000000	n/a	n/a	stimulus	n/a	93052.jpg	easy_distractor
158.3670000000	n/a	n/a	stimulus	n/a	13020.jpg	easy_distractor
160.1950000000	n/a	n/a	stimulus	352	247000.jpg	easy_target
160.5470000000	n/a	n/a	response	n/a	n/a	correct
162.2370000000	n/a	n/a	stimulus	n/a	19073.jpg	easy_distractor
164.4400000000	n/a	n/a	stimulus	333	247000.jpg	easy_target
164.7730000000	n/a	n/a	response	n/a	n/a	correct
166.4550000000	n/a	n/a	stimulus	359	247000.jpg	easy_target
166.8140000000	n/a	n/a	response	n/a	n/a	correct
168.5600000000	n/a	n/a	stimulus	n/a	116037.jpg	easy_distractor
170.5110000000	n/a	n/a	stimulus	n/a	151070.jpg	easy_distractor
172.4170000000	n/a	n/a	stimulus	341	247000.jpg	easy_target
172.7580000000	n/a	n/a	response	n/a	n/a	correct
174.5180000000	n/a	n/a	stimulus	n/a	83016.jpg	easy_distractor
176.4780000000	n/a	n/a	stimulus	n/a	237039.jpg	easy_distractor
178.3780000000	n/a	n/a	stimulus	369	247000.jpg	easy_target
178.7470000000	n/a	n/a	response	n/a	n/a	correct
180.4360000000	n/a	n/a	stimulus	n/a	102025.jpg	easy_distractor
182.4340000000	n/a	n/a	stimulus	n/a	172002.jpg	easy_distractor
184.2820000000	n/a	n/a	stimulus	364	247000.jpg	easy_target
184.6460000000	n/a	n/a	response	n/a	n/a	correct
186.3910000000	n/a	n/a	stimulus	n/a	341045.jpg	easy_distractor
188.5170000000	n/a	n/a	stimulus	422	247000.jpg	easy_target
188.9390000000	n/a	n/a	response	n/a	n/a	correct
190.3420000000	n/a	n/a	stimulus	n/a	281043.jpg	easy_distractor
192.1630000000	n/a	n/a	stimulus	n/a	116049.jpg	easy_distractor
194.1170000000	n/a	n/a	stimulus	352	247000.jpg	easy_target
194.4690000000	n/a	n/a	response	n/a	n/a	correct
196.2410000000	n/a	n/a	stimulus	242	247000.jpg	easy_target
196.4830000000	n/a	n/a	response	n/a	n/a	correct
198.2820000000	n/a	n/a	stimulus	n/a	63005.jpg	easy_distractor
200.1190000000	n/a	n/a	stimulus	416	247000.jpg	easy_target
200.5350000000	n/a	n/a	response	n/a	n/a	correct
201.9350000000	n/a	n/a	stimulus	n/a	57029.jpg	easy_distractor
