onset	duration	sample	trial_type	response_time	stim_file	value
7.8910000000	n/a	n/a	stimulus	324	110036.jpg	easy_target
8.2150000000	n/a	n/a	response	n/a	n/a	correct
9.8450000000	n/a	n/a	stimulus	n/a	50074.jpg	easy_distractor
12.0510000000	n/a	n/a	stimulus	348	110036.jpg	easy_target
12.3990000000	n/a	n/a	response	n/a	n/a	correct
14.1340000000	n/a	n/a	stimulus	253	110036.jpg	easy_target
14.3870000000	n/a	n/a	response	n/a	n/a	correct
16.0500000000	n/a	n/a	stimulus	251	110036.jpg	easy_target
16.3010000000	n/a	n/a	response	n/a	n/a	correct
18.2460000000	n/a	n/a	stimulus	n/a	27092.jpg	easy_distractor
20.3080000000	n/a	n/a	stimulus	n/a	50071.jpg	easy_distractor
22.2420000000	n/a	n/a	stimulus	291	110036.jpg	easy_target
22.5330000000	n/a	n/a	response	n/a	n/a	correct
24.1090000000	n/a	n/a	stimulus	241	110036.jpg	easy_target
24.3500000000	n/a	n/a	response	n/a	n/a	correct
25.9880000000	n/a	n/a	stimulus	n/a	96008.jpg	easy_distractor
27.8560000000	n/a	n/a	stimulus	296	110036.jpg	easy_target
28.1520000000	n/a	n/a	response	n/a	n/a	correct
29.8110000000	n/a	n/a	stimulus	n/a	67057.jpg	easy_distractor
31.9550000000	n/a	n/a	stimulus	339	110036.jpg	easy_target
32.2940000000	n/a	n/a	response	n/a	n/a	correct
33.9580000000	n/a	n/a	stimulus	n/a	38096.jpg	easy_distractor
35.8680000000	n/a	n/a	stimulus	233	110036.jpg	easy_target
36.1010000000	n/a	n/a	response	n/a	n/a	correct
37.7300000000	n/a	n/a	stimulus	333	110036.jpg	easy_target
38.0630000000	n/a	n/a	response	n/a	n/a	correct
39.6890000000	n/a	n/a	stimulus	n/a	266004.jpg	easy_distractor
41.7090000000	n/a	n/a	stimulus	309	110036.jpg	easy_target
42.0180000000	n/a	n/a	response	n/a	n/a	correct
43.6370000000	n/a	n/a	stimulus	n/a	373066.jpg	easy_distractor
45.4900000000	n/a	n/a	stimulus	n/a	127014.jpg	easy_distractor
47.4680000000	n/a	n/a	stimulus	343	110036.jpg	easy_target
47.8110000000	n/a	n/a	response	n/a	n/a	correct
49.5600000000	n/a	n/a	stimulus	n/a	26048.jpg	easy_distractor
51.4150000000	n/a	n/a	stimulus	n/a	19031.jpg	easy_distractor
53.4340000000	n/a	n/a	stimulus	264	110036.jpg	easy_target
53.6980000000	n/a	n/a	response	n/a	n/a	correct
55.3740000000	n/a	n/a	stimulus	n/a	56070.jpg	easy_distractor
57.2540000000	n/a	n/a	stimulus	345	110036.jpg	easy_target
57.5990000000	n/a	n/a	response	n/a	n/a	correct
59.3740000000	n/a	n/a	stimulus	n/a	341061.jpg	easy_distractor
61.4370000000	n/a	n/a	stimulus	261	110036.jpg	easy_target
61.6980000000	n/a	n/a	response	n/a	n/a	correct
63.4660000000	n/a	n/a	stimulus	n/a	98001.jpg	easy_distractor
65.3620000000	n/a	n/a	stimulus	n/a	115054.jpg	easy_distractor
67.5370000000	n/a	n/a	stimulus	n/a	207033.jpg	easy_distractor
69.6210000000	n/a	n/a	stimulus	306	227048.jpg	easy_distractor
69.9270000000	n/a	n/a	response	n/a	n/a	incorrect
71.7830000000	n/a	n/a	stimulus	402	110036.jpg	easy_target
